ETAPA,FORNECEDOR,CNPJ,DATA DE EMISSÃO,DATA DE RECEBIMENTO,DATA DE VENCIMENTO,Nº DO DOCUMENTO,VALOR,MARCA,CENTRO DE CUSTO,FILIAL,TIPO DE DOCUMENTO,TIPO DE SERVIÇO,CÓDIGO DO SERVIÇO,HEFLO,DATA ABERTURA HEFLO,PC,DATA APROVAÇÃO,V360,DATA EDIÇÃO V360,RESPONSÁVEL,DATA DE PAGAMENTO REAL,STATUS,DIAS RESTANTES (ENVIO P/ TIME PAG.),ALERTA (ENVIO P/ TIME PAG.),DATA DE PAGAMENTO IDEAL,STATUS DO PAGAMENTO,OBSERVAÇÕES,FORMA DE PAGAMENTO,ENCARGO FINANCEIRO,VALOR DO ENCARGO
PAGO,STAR PRINT IND. E COM. DE ETIQ.LTDA-EPP,15091373000192,12/03/2026,12/03/2026,10/04/2026,8622,"R$ 13.095,00",SAS,3062,010105,NFP,ETIQUETAS ADESIVAS EM GERAL,,141029,16/03/2026,S41521,23/03/2026,367434,23/03/2026,FRANCISCO EDSON,10/04/2026,PAGO,,,,PAGO NO PRAZO,,,,
PAGO,TBF BALANCAS COMERCIO E SERVICOS LTDA,22644107000105,11/02/2026,11/02/2026,10/03/2026,734,"R$ 160,00",SAS,3062,010105,NFP,PEÇAS E SERVIÇOS DE CALIBRAGEM DE BALANÇAS ,,140642,12/03/2026,S41497,13/03/2026,362373,16/03/2026,FRANCISCO EDSON,27/03/2026,PAGO,,,,PAGO EM ATRASO,,TED,NÃO,
PAGO,LT TRANSPORTES E LOCACAO LTDA,40592100000179,06/03/2026,06/03/2026,03/04/2026,963,"R$ 30.000,00",SAS,3062,010105,NFS,SERVIÇO DE TRANSPORTE DE COLABORADORES,,140971,16/03/2026,S70230,23/03/2026,367760,23/03/2026,FRANCISCO EDSON,02/04/2026,PAGO,,,,PAGO NO PRAZO,,,,
PAGO,Top Clean Nordeste LTDA - ME,21988620000150,13/03/2026,16/03/2026,17/04/2026,115079,"R$ 3.670,80",SAS,3062,010105,NFP,MATERIAIS DE HIGIENE ,,,,S41063,21/08/2025,368211,23/03/2026,FRANCISCO EDSON,17/04/2026,PAGO,,,,PAGO NO PRAZO,,,,
PAGO,EMBPLAST EMBALAGENS DE PLASTICOS LTDA,1275423000187,13/03/2026,16/03/2026,17/04/2026,13034,"R$ 1.545,00",SAS,3062,010105,NFP,MATERIAL PLÁSTICO OPERACIONAL EM GERAL ,,141063,16/03/2026,S41508,23/03/2026,367694,23/03/2026,FRANCISCO EDSON,10/04/2026,PAGO,,,,PAGO NO PRAZO,,,,
PAGO,PANIFICADORA MM,1755085000180,19/03/2026,19/03/2026,10/04/2026,13,"R$ 82,32",IS,3074,100113,NFP,LANCHE HORA EXTRA CD,33SV0001,142149,23/03/2026,SELOQG,02/04/2026,361636,06/04/2026,PEDRO GUILHERME,,PAGO,,,,PAGO NO PRAZO,"Foi aberto um chamado no V360 para que fosse possível alterar os campos do PC, pelo Protheus. O chamado não foi atendido em tempo hábil, mesmo solicitando suporte aos times responsáveis por meio do Slack. Com isso, foi necessário que um colega nos ajudasse nessa tarefa, mas causou no atraso no pagamento",BOLETO,,
PAGO,PANIFICADORA MM,1755085000180,19/03/2026,19/03/2026,10/04/2026,19,"R$ 124,64",IS,3074,100113,NFP,LANCHE HORA EXTRA CD,33SV0001,142151,23/03/2026,SELOQH,02/04/2026,362441,06/04/2026,PEDRO GUILHERME,,PAGO,,,,PAGO NO PRAZO,"Foi aberto um chamado no V360 para que fosse possível alterar os campos do PC, pelo Protheus. O chamado não foi atendido em tempo hábil, mesmo solicitando suporte aos times responsáveis por meio do Slack. Com isso, foi necessário que um colega nos ajudasse nessa tarefa, mas causou no atraso no pagamento",BOLETO,,
PAGO,PANIFICADORA MM,1755085000180,19/03/2026,19/03/2026,10/04/2026,12,"R$ 97,73",IS,3074,100113,NFP,LANCHE HORA EXTRA CD,33SV0001,142153,23/03/2026,SELOQI,02/04/2026,362959,06/04/2026,PEDRO GUILHERME,,PAGO,,,,PAGO NO PRAZO,"Foi aberto um chamado no V360 para que fosse possível alterar os campos do PC, pelo Protheus. O chamado não foi atendido em tempo hábil, mesmo solicitando suporte aos times responsáveis por meio do Slack. Com isso, foi necessário que um colega nos ajudasse nessa tarefa, mas causou no atraso no pagamento",BOLETO,,
PAGO,EMBPLAST EMBALAGENS DE PLASTICOS LTDA,1275423000187,17/03/2026,18/03/2026,17/04/2026,13044,"R$ 3.808,00",SAS,3062,010105,NFP,MATERIAL PLÁSTICO OPERACIONAL EM GERAL ,,142198,23/03/2026,S41529,25/03/2026,368421,31/03/2026,FRANCISCO EDSON,10/04/2026,PAGO,,,,PAGO NO PRAZO,,,,
PAGO,STAR PRINT IND. E COM. DE ETIQ.LTDA-EPP,15091373000192,17/03/2026,18/03/2026,17/04/2026,8675,"R$ 9.009,00",SAS,3062,010105,NFP,ETIQUETAS ADESIVAS EM GERAL,,142230,23/03/2026,S41530,26/03/2026,368490,31/03/2026,FRANCISCO EDSON,10/04/2026,PAGO,,,,PAGO NO PRAZO,,,,
PAGO,ERMIS SERVICOS PROF E LOGISTICA LTDA,32680836000170,17/03/2026,17/03/2026,17/04/2026,915,"R$ 32.667,78",SAS,3062,010105,NFS,SERVIÇO DE MÃO DE OBRA  TERCEIRA,,86221,10/04/2025,S40859,,368471,23/03/2026,FRANCISCO EDSON,17/04/2026,PAGO,,,,PAGO NO PRAZO,,,,
PAGO,ERMIS SERVICOS PROF E LOGISTICA LTDA,32680836000170,10/03/2026,10/03/2026,27/03/2026,913,"R$ 2.663,36",SAS,3062,010105,NFS,SERVIÇO DE MÃO DE OBRA  TERCEIRA,,86221,10/04/2025,S40859,,366913,23/03/2026,FRANCISCO EDSON,27/03/2026,PAGO,,,,PAGO NO PRAZO,,,,
PAGO,F J M BARROS,38529778000165,18/03/2026,18/03/2026,17/04/2026,877,"R$ 33.600,00",SAS,3062,010105,NFS,SERVIÇO DE MÃO DE OBRA TERCEIRA,SVC063SV0188,91220,13/05/2025,S40915,,368862,23/03/2026,FRANCISCO EDSON,02/04/2026,PAGO,,,,PAGO NO PRAZO,,,,
PAGO,MACIO CLEITON PINHEIRO,23123929000103,19/02/2026,19/02/2026,20/03/2026,626,"R$ 1.000,00",SAS,3062,010101,NFS,SERVIÇO DE MANUTENÇÃO PREDIAL E ELÉTRICA EM GERAL,,142367,24/03/2026,S70530,26/03/2026,363515,26/03/2026,FRANCISCO EDSON,10/04/2026,PAGO,,,,PAGO EM ATRASO,"Pedido criado com valores abaixo do serviço realizado, pedido teve que ser refeito",TED,NÃO,
PAGO,MACIO CLEITON PINHEIRO,23123929000103,19/02/2026,19/02/2026,20/03/2026,625,"R$ 1.050,00",SAS,3062,010101,NFS,SERVIÇO DE MANUTENÇÃO PREDIAL E ELÉTRICA EM GERAL,,142374,24/03/2026,S70480,25/03/2026,363513,26/03/2026,FRANCISCO EDSON,08/04/2026,PAGO,,,,PAGO EM ATRASO,,TED,NÃO,
PAGO,MACIO CLEITON PINHEIRO,23123929000103,12/03/2026,12/03/2026,10/04/2026,631,"R$ 7.200,00",SAS,3062,010101,NFS,SERVIÇO DE MANUTENÇÃO PREDIAL E ELÉTRICA EM GERAL,,142381,24/03/2026,S70486,31/03/2026,367482,31/03/2026,FRANCISCO EDSON,15/04/2026,PAGO,,,,PAGO EM ATRASO,,TED,NÃO,
PAGO,EUROPLAST PRODUTOS E EMBALAGENS PLASTICA,14435113000124,17/03/2026,20/03/2026,10/04/2026,8836,"R$ 1.248,00",SAS,3062,010105,NFP,MATERIAL PLÁSTICO OPERACIONAL EM GERAL ,,142461,24/03/2026,S41531,31/03/2026,368450,31/03/2026,FRANCISCO EDSON,10/04/2026,PAGO,,,,PAGO NO PRAZO,,,,
PAGO,ZAP EVENTOS E LOCACOES LTDA ME,10562719000170,12/03/2026,12/03/2026,10/04/2026,4370,"R$ 3.100,00",SAS,3062,010101,NFS,LOCAÇÃO DE CLIMATIZADORES,,142473,24/03/2026,S70519,31/03/2026,367368,31/03/2026,FRANCISCO EDSON,17/04/2026,PAGO,,,,PAGO EM ATRASO,,,,
